Airline,Destination airport,Origin airport,Route Details,Dest Latitude,Dest Longitude,Origin Latitude,Origin Longitude
AA,TUS,ORD,ORD-TUS,41.5846,-87.5416,32.658,-110.5629
AA,TUS,PHX,PHX-TUS,33.263,-112.029,32.658,-110.5629
AA,TXK,DFW,DFW-TXK,32.5347,-97.215,33.2713,-93.5927
AA,TYR,DFW,DFW-TYR,32.5347,-97.215,32.2114,-95.248
AA,TYS,CLT,CLT-TYS,35.125,-80.5635,35.4844,-83.5934
AA,TYS,DCA,DCA-TYS,38.517,-77.215,35.4844,-83.5934
AA,TYS,DFW,DFW-TYS,32.5347,-97.215,35.4844,-83.5934
AA,TYS,LGA,LGA-TYS,40.4638,-73.5221,35.4844,-83.5934
AA,TYS,ORD,ORD-TYS,41.5846,-87.5416,35.4844,-83.5934
AA,TYS,PHL,PHL-TYS,39.5219,-75.1428,35.4844,-83.5934
AA,VPS,CLT,CLT-VPS,35.125,-80.5635,30.2859,-86.3131
AA,VPS,DCA,DCA-VPS,38.517,-77.215,30.2859,-86.3131
AA,VPS,DFW,DFW-VPS,32.5347,-97.215,30.2859,-86.3131
AA,YUM,PHX,PHX-YUM,33.263,-112.029,32.3923,-114.3621
AC,DEN,ATL,ATL-DEN,33.3825,-84.2537,39.513,-104.401
AC,DEN,MSY,MSY-DEN,29.5936,-90.1528,39.513,-104.401
AC,EWR,MSY,MSY-EWR,29.5936,-90.1528,40.4132,-74.107
AC,IAD,MSY,MSY-IAD,29.5936,-90.1528,38.564,-77.272
AC,IAH,MSY,MSY-IAH,29.5936,-90.1528,29.5849,-95.2023
AC,MSY,DEN,DEN-MSY,39.513,-104.401,29.5936,-90.1528
