Airline,Destination airport,Origin airport,Route Details,Dest Latitude,Dest Longitude,Origin Latitude,Origin Longitude
B6,MCO,BUF,BUF-MCO,42.5625,-78.4355,28.2544,-81.1857
B6,MCO,DCA,DCA-MCO,38.517,-77.215,28.2544,-81.1857
B6,MCO,EWR,EWR-MCO,40.4132,-74.107,28.2544,-81.1857
B6,MCO,HPN,HPN-MCO,41.41,-73.4227,28.2544,-81.1857
B6,MCO,JFK,JFK-MCO,40.3823,-73.4644,28.2544,-81.1857
B6,MCO,LGA,LGA-MCO,40.4638,-73.5221,28.2544,-81.1857
B6,MCO,PVD,PVD-MCO,41.4326,-71.2541,28.2544,-81.1857
B6,MCO,RIC,RIC-MCO,37.3018,-77.191,28.2544,-81.1857
B6,MCO,SWF,SWF-MCO,41.3014,-74.617,28.2544,-81.1857
B6,MCO,SYR,SYR-MCO,43.64,-76.622,28.2544,-81.1857
B6,MSY,BOS,BOS-MSY,42.2151,-71.018,29.5936,-90.1528
B6,MSY,JFK,JFK-MSY,40.3823,-73.4644,29.5936,-90.1528
B6,OAK,JFK,JFK-OAK,40.3823,-73.4644,37.4316,-122.1314
B6,OAK,LGB,LGB-OAK,33.493,-118.95,37.4316,-122.1314
B6,ORD,BOS,BOS-ORD,42.2151,-71.018,41.5846,-87.5416
B6,ORD,JFK,JFK-ORD,40.3823,-73.4644,41.5846,-87.5416
B6,PBI,BDL,BDL-PBI,41.562,-72.4059,26.4059,-80.544
B6,PBI,BOS,BOS-PBI,42.2151,-71.018,26.4059,-80.544
B6,PBI,EWR,EWR-PBI,40.4132,-74.107,26.4059,-80.544
B6,PBI,HPN,HPN-PBI,41.41,-73.4227,26.4059,-80.544
B6,PBI,JFK,JFK-PBI,40.3823,-73.4644,26.4059,-80.544
B6,PBI,LGA,LGA-PBI,40.4638,-73.5221,26.4059,-80.544
B6,PDX,BOS,BOS-PDX,42.2151,-71.018,45.3519,-122.3551
B6,PDX,JFK,JFK-PDX,40.3823,-73.4644,45.3519,-122.3551
B6,PDX,LGB,LGB-PDX,33.493,-118.95,45.3519,-122.3551
B6,PHL,BOS,BOS-PHL,42.2151,-71.018,39.5219,-75.1428
B6,PHX,BOS,BOS-PHX,42.2151,-71.018,33.263,-112.029
B6,PHX,JFK,JFK-PHX,40.3823,-73.4644,33.263,-112.029
B6,PIT,BOS,BOS-PIT,42.2151,-71.018,40.2929,-80.1358
B6,PVD,FLL,FLL-PVD,26.421,-80.99,41.4326,-71.2541
B6,PVD,MCO,MCO-PVD,28.2544,-81.1857,41.4326,-71.2541
B6,PWM,JFK,JFK-PWM,40.3823,-73.4644,43.3846,-70.1831
B6,RDU,BOS,BOS-RDU,42.2151,-71.018,35.5239,-78.4714
B6,RDU,FLL,FLL-RDU,26.421,-80.99,35.5239,-78.4714
B6,RDU,JFK,JFK-RDU,40.3823,-73.4644,35.5239,-78.4714
B6,RIC,BOS,BOS-RIC,42.2151,-71.018,37.3018,-77.191
B6,RIC,FLL,FLL-RIC,26.421,-80.99,37.3018,-77.191
B6,RIC,MCO,MCO-RIC,28.2544,-81.1857,37.3018,-77.191
B6,ROC,JFK,JFK-ROC,40.3823,-73.4644,43.77,-77.402
B6,RSW,BOS,BOS-RSW,42.2151,-71.018,26.321,-81.4518
B6,RSW,EWR,EWR-RSW,40.4132,-74.107,26.321,-81.4518
B6,RSW,HPN,HPN-RSW,41.41,-73.4227,26.321,-81.4518
B6,RSW,JFK,JFK-RSW,40.3823,-73.4644,26.321,-81.4518
B6,RSW,LGA,LGA-RSW,40.4638,-73.5221,26.321,-81.4518
B6,SAN,BOS,BOS-SAN,42.2151,-71.018,32.44,-117.1122
